catalog,genus_species,Sex,TotL,Tail,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Usw,Rl,Mcl,Ppl,Mtl,Pppl,County,Locality Notes,Habitat,Other Notes
UF16918,Ochrotomys_nuttalli,F,160,78,17.9,14.26,2.52,1.08,18.48,2.52,0.81,11.95,2.94,2.39,0.83,17.45,1.92,0.44,13.28,3.44,2.2,6.66,2.63,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF16919,Ochrotomys_nuttalli,M,162,75,21,15.32,2.56,1.34,19.61,2.45,0.79,12.55,2.96,2.36,0.91,16.11,1.93,0.47,13.45,3.41,2.16,6.58,2.6,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF16920,Ochrotomys_nuttalli,F,177,87,,16.07,2.64,1.23,,2.69,0.82,12.82,2.89,2.49,0.93,16.56,1.97,0.49,13.93,3.66,2.33,7.09,2.66,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF16932,Ochrotomys_nuttalli,F,167,81,17.7,14.34,2.86,1.13,,2.77,0.76,11.95,2.97,2.49,0.87,15.89,1.96,0.44,13.25,3.41,,6.61,2.58,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17185,Ochrotomys_nuttalli,M,163,67,16.8,15.24,2.73,1.15,19.66,2.8,0.72,12.52,2.95,2.46,0.89,15.98,1.84,0.43,13.41,3.43,2.25,6.79,2.64,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17191,Ochrotomys_nuttalli,M,165,81,18.8,15.51,2.76,1.1,,2.84,0.77,12.92,3.09,2.51,0.89,16.52,1.93,0.41,13.82,3.57,2.28,6.94,2.67,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17194,Ochrotomys_nuttalli,M,168,73,,14.9,2.79,1.15,18.87,2.81,0.82,12.18,3.11,2.42,0.91,15.58,1.78,0.48,13.07,3.51,2.18,6.55,2.61,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF17195,Ochrotomys_nuttalli,M,170,80,,15.07,2.83,1.28,,2.71,0.78,12.53,3.13,2.47,0.93,16.39,2.03,0.49,13.64,3.55,2.3,6.86,2.83,Putnam,CFBC Site K,Mature Sand Pine Scrub,
UF31664,Ochrotomys_nuttalli,F,164,77,20.2,15.25,2.86,1.27,,2.8,,12.53,3.32,2.53,1.14,16.23,2.06,0.51,13.41,3.69,2.28,7.37,2.85,Manatee,Little Manatee River South Fork Tract,Wet Flatwoods,
UF31665,Ochrotomys_nuttalli,F,166,80,19.2,16.64,2.65,1.33,21.22,2.73,0.83,13.55,3.19,2.58,1.04,16.86,1.91,0.54,14.33,3.76,2.33,7.36,2.76,Manatee,Little Manatee River South Fork Tract,Wet Flatwoods,
UF23194,Ochrotomys_nuttalli,F,128,61,14,13.76,2.64,1.14,18.17,2.54,0.82,11.71,3.06,2.48,0.96,,,,,,,6.56,2.62,Citrus,Homosassa Springs Attraction Area,Hydric Hammock,No Ulnas or Hands in vial.
UF17199,Ochrotomys_nuttalli,M,175,84,21.4,16.05,2.78,1.29,,2.81,0.84,13.35,3.13,2.52,0.98,16.84,1.96,0.53,14.14,3.66,2.45,7.21,2.91,Marion,CFBC Site 61,Sandhill,
UF17233,Ochrotomys_nuttalli,M,168,79,,15.18,2.67,1.05,,2.76,,12.68,3.05,2.45,0.89,16.21,1.92,0.47,13.61,3.28,2.27,7.32,2.79,Marion,CFBC Site E,Sand Pine Scrub,
UF17202,Peromyscus_gossypinus,F,180,76,31.2,18.8,3.2,1.89,,3.3,1.27,14.34,3.33,2.92,1.21,17.68,2.16,0.66,14.79,3.98,2.26,8.52,2.99,Marion,"CFBC 903, Site I",Xeric Hammock,
UF17210,Peromyscus_gossypinus,M,181,79,31.3,18.43,3.31,1.68,,3.51,1.25,14.11,3.41,2.96,1.12,17.62,2.19,0.56,14.65,3.95,2.28,9.24,3.04,Marion,"CFBC 1446, Site 125",Mesic Hammock,
UF17212,Peromyscus_gossypinus,M,170,77,29.2,19.19,3.12,1.51,,3.1,1.19,14.61,3.21,2.63,1.13,17.91,2.13,0.62,15.22,4.03,2.41,8.85,3.03,Marion,"CFBC 1441, Site 125",Mesic Hammock,
