catalog,Taxon_Upham_style,Genus_species,Sex,TotL,Tail,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Rl,Mcl,Ppl,Mtl,Pppl,MANUS,HRI,HPI,HEB,OLI,BI,IM,PRTI,FRI,FEB,CI,TRI,PES,log_Mass,pred_data,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_mode_Ordinal,Loc_Ord,Loc_Ord2,Loc_mode_Binary,Loc_bin,Loc_mode_source
FMNH46006,Sarcophilus_harrisii_DASYURIDAE_DASYUROMORPHIA,Sarcophilus_harrisii,NA,NA,NA,NA,1.4036207015367252,1.4974903585199715,1.3488264143676607,1.2817041111759482,0.8847904742137307,1.240384785981198,1.6769931480313345,1.573660543192533,1.5758092054731831,1.4664197409075084,1.709921683236154,1.2107740035571684,1.7431479479829444,1.6981967123641486,1.3023844240519349,1.1895059950241873,1.1297571435204805,-1.2187207265291498,-0.251952309502123,0.2659271720821148,-0.1878165290131272,-0.8544234748671176,-0.08446736294986416,2.1379074323940648,-0.04516431490881818,-0.058744608264869685,0.49606685018738417,-0.9253315676671171,0.27727266227672354,-0.19067915421400392,1.8780721462751244,F,8202.25,PanTheria,T,T,T,T,Ground,0,ADW
AMNH35504,Thylacinus_cynocephalus_THYLACINIDAE_DASYUROMORPHIA,Thylacinus_cynocephalus,NA,NA,NA,NA,2.3425446100104876,2.1168733070603403,2.128129096169583,2.25398488349169,1.832739726317063,1.8106882044606087,2.4183535843936976,2.034992198778249,2.0463772067586476,2.1031509373205033,2.519740866766963,2.843121150476817,2.463490905153447,2.3097409651354193,1.9546072969249408,2.269384762015371,1.9733756338448678,-1.1825682175709633,-0.340830565752001,-0.22928987236729317,-0.6796320808848781,0.8845507881433221,-0.383364289226339,1.036985058370928,-0.2940363566822457,-0.4065445512392768,-0.6087673095108482,-1.1551884239164043,-0.4476367387083861,-0.5788018707792437,2.221339253896126,F,16700,Rovinsky et al 2020 (Proc. B),T,T,T,T,Ground,0,ADW
FMNH56442,Cynocephalus_volans_CYNOCEPHALIDAE_DERMOPTERA,Cynocephalus_volans,NA,NA,NA,NA,1.7199869249030713,0.8916811740043427,0.9532489832460828,1.6481583070731376,0.4397573401859599,0.9722206838959057,1.8491339148885877,1.0704270209581765,0.917743437338284,1.4553317778331263,1.9538956792333495,-0.22448040225398264,2.219143003869829,1.8319995361193622,1.9359665315936494,0.9357122895813669,1.4769584770800166,-0.03110039077046297,-0.5780942353832039,-1.196245707487641,-1.3178332412174305,-2.250174580424846,1.6600062972148415,1.2849156621747668,-0.48796728039101833,-1.77216411419297,-2.3219202225789983,-0.8484905712997276,-1.2170057926743694,1.3084124305825497,0.969807467068701,F,1250,PanTheria,G,G,G,A,Tree,1,ADW
FMNH171074,Galeopterus_variegatus_CYNOCEPHALIDAE_DERMOPTERA,Galeopterus_variegatus,NA,NA,NA,NA,1.4546643129670118,0.532279787405757,0.4796505663091029,1.3699554493655706,0.3800645608487863,0.692653411423117,1.61951748705678,0.7449600354468885,0.606831939309045,0.8147090487021053,1.7789290634390194,-0.23235299172407564,2.0628081582219866,1.4873344100121515,1.5889142029744348,0.4703481530200704,1.0229245621394,-0.001296863039052799,-1.2319025164706514,-1.3137579108589703,-1.4483587491810537,-2.178220617633996,2.230065506947775,1.7356137584320601,-0.8261310535798562,-2.1483446306289355,-2.53443940038943,-0.7951369044963857,-1.3087749140312697,1.2991080332088183,0.9134153532087693,F,1112.2,PanTheria,G,G,G,A,Tree,1,ADW
FMNH60764,Caluromys_derbianus_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromys_derbianus,NA,NA,NA,NA,0.5443330274455717,0.5417331800618058,0.347961532475911,0.28308456042499897,0.20194431158836856,0.2147951151596509,0.4901618925760308,0.687486140249197,0.2693733108371406,0.6669640714724772,0.5365975360291071,0.375564337258536,0.5817336726824365,0.055793196443141416,0.7623137190508769,-0.23830865991030828,0.8082398054640677,2.413072339819857,0.42228003559557376,-0.17609956458810477,0.41521547038090834,-0.39551669499497116,0.3734797451466768,0.4131149653713241,-1.1147897776844307,-0.6033214812539094,-0.025229908716695046,-1.1417823834336909,-0.2843437713415567,3.009741790148309,0.32199586038269784,F,326.72,PanTheria,A,A,A,A,Tree,1,ADW
NMNH464247,Caluromys_derbianus_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromys_derbianus,NA,NA,NA,NA,0.4587385503555024,0.5663310619292786,0.3045316063454419,0.24712731191564394,0.2572387047162461,0.07549411118825018,0.43093980419483846,0.6931312351357414,0.30893929820319616,0.8329410426750707,0.4530225917441497,0.05167540611131401,0.49747254360976734,0.18788843895759283,0.7242930848068432,-0.40937409949347064,0.6560486976193795,1.6562647041459047,1.0508994346880494,0.02862760798296967,0.5834804918339607,-0.7951960760861225,0.24975504452883937,0.3477308534052589,-0.729358525328012,-0.49672078491442373,0.4105760024345751,-0.9138182832604997,-0.5756876862978929,3.0676700058625,0.32199586038269784,F,326.72,PanTheria,A,A,A,A,Tree,1,ADW
FMNH49337,Caluromys_lanatus_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromys_lanatus,NA,NA,NA,NA,0.5876678889555443,0.43391438640592794,0.34114123317562395,0.4209392052789589,0.028994671523758238,0.21161563064418346,0.45423252907105,0.568962480018468,0.1708398789955274,0.3911829667851298,0.48593948540725157,0.1397741877957636,0.6238008467916764,0.0275606023396066,0.659310928135927,-0.4394280118151092,0.6789815660126133,2.08270144538876,-0.15254141039503985,-0.30752698314179916,0.2011995687180582,-0.7086720062136691,0.8357771597150485,-0.3219773493987846,-1.170369156269142,-0.7336466010948544,-0.5767034775614642,-0.7831889879683448,-0.6009005060103947,3.294532449219076,0.35568142523299423,F,350.33,PanTheria,A,A,A,A,Tree,1,ADW
FMNH61877,Caluromys_philander_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromys_philander,NA,NA,NA,NA,0.15816109830192177,0.08529211224906241,0.044054270908607196,0.019526466208867867,-0.13808017132780992,0.11911885982416823,0.19691619575578106,0.44407852624907046,0.03364891089512172,0.23971064349702798,0.26533692879787235,0.024814086945855195,0.3314160342487976,-0.102189129465359,0.499964322552623,-0.7003133123121218,0.4105976944048148,1.9755267216808647,0.03544365239187918,-0.09500571660844664,0.5163798745464858,-0.5544592203742034,0.7031200094646577,0.6559567977979271,-0.9192302939367607,-0.423407142500519,-0.3428799387572385,-0.4889300921356698,0.08480162528671889,3.2259280018771355,0.18591378641121614,F,246.47,PanTheria,A,A,A,A,Tree,1,ADW
AMNH267336,Caluromys_philander_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromys_philander,NA,NA,NA,NA,0.4137819371572396,0.4598586454561,0.21131235468621695,0.23373908754553535,0.14569249988970634,-0.03590973222900653,0.3751463607886816,0.5915379303158358,0.12211186040358674,0.39204420561567305,0.4219956000639733,0.13254575409489047,0.4947749870307269,0.17310101838904646,0.7464599513026172,NA,NA,1.8105443171476947,0.009665747160890557,-0.2572892781017449,0.4532648403626474,-0.6231835230202266,0.5656655717110232,0.27100785952000794,-0.7012563026556067,-0.637530354380027,0.1494753625673582,-0.7679309296605875,-0.8215655873818718,NA,0.18591378641121614,F,246.47,PanTheria,A,A,A,A,Tree,1,ADW
FMNH60698,Caluromysiops_irrupta_DIDELPHIDAE_DIDELPHIMORPHIA,Caluromysiops_irrupta,NA,NA,NA,NA,0.5480347486430065,0.6903186394336647,0.6178787133208398,0.3632854554047466,0.36763306248470473,0.3275440048285502,0.5722240515230295,0.8366241285587441,0.3515469758361287,0.7958941713440667,0.6322955682117899,0.2120192894255438,0.7091796702638233,0.25093438332231904,0.8680156989784387,-0.17946851706168407,0.9239436865512817,1.9832902066604825,0.5650625823670427,-0.1647705521048409,0.6054998054720354,-0.81114948754576,0.609918261389169,0.7097861125101343,-0.9443067981544578,0.21489249716365627,0.5734656549723794,-0.8408025652435847,-0.15545076730786275,3.263659803398776,0.207012765274744,F,257.48,PanTheria,A,A,A,A,Tree,1,ADW
